"Country","HaveWorkedLanguage","Frequency"
"Netherlands","Objective-C",50
"Romania","Scala",7
"Belgium","C",46
"Egypt","C",17
"Egypt","C++",20
"Egypt","CoffeeScript",2
"Australia","CoffeeScript",27
"Australia","R",23
"Hungary","Assembly",14
"Hungary","C",42
"Sweden","Matlab",29
"New Zealand","Ruby",20
"Czech Republic","C",60
"Czech Republic","TypeScript",26
"Austria","Python",83
"Austria","R",16
"Austria","Scala",16
"Australia","PHP",177
"Chile","C++",11
"Chile","Python",34
"Armenia","C",6
"Armenia","Python",6
"Armenia","Ruby",1
"Poland","Go",51
"Denmark","Objective-C",12
"Croatia","PHP",37
"France","Groovy",47
"Guatemala","C",2
"Guatemala","VB.NET",5
"Bulgaria","Objective-C",13
"Bulgaria","Smalltalk",1
"New Zealand","CoffeeScript",11
"New Zealand","F#",3
"New Zealand","VB.NET",10
"China","C",53
"France","Scala",57
"Pakistan","Groovy",5
"Pakistan","Julia",2
"Pakistan","VB.NET",22
"Singapore","C",24
"Singapore","C++",32
"Singapore","Java",69
"Singapore","Python",44
"Switzerland","R",26
"Switzerland","Scala",27
"Georgia","C",5
"Georgia","C++",8
"Canada","VisualBasic6",52
"Portugal","PHP",58
"Romania","Objective-C",26
"Dominican Republic","C++",8
"Dominican Republic","Java",22
"Dominican Republic","JavaScript",34
"Dominican Republic","PHP",12
"Dominican Republic","TypeScript",11
"Russian Federation","PHP",134
"Thailand","C",11
"Thailand","C++",11
"Thailand","Java",30
"Thailand","JavaScript",45
"Thailand","Perl",3
"Thailand","PHP",25
"Thailand","Python",25
"Thailand","SQL",34
"Brazil","Clojure",7
"Brazil","Go",19
"Australia","Ruby",66
"Austria","CoffeeScript",8
"Australia","Lua",26
"Japan","JavaScript",91
"Japan","Python",78
"Japan","Scala",13
"Japan","Swift",19
"Japan","TypeScript",20
"Australia","VBA",37
"Australia","VisualBasic6",18
"Australia","VB.NET",47
"Ireland","TypeScript",27
"Australia","Objective-C",45
"Argentina","VBA",4
"Argentina","VisualBasic6",9
"I prefer not to say","Clojure",3
"I prefer not to say","R",2
"I prefer not to say","Rust",2
"I prefer not to say","Swift",3
"I prefer not to say","Java",24
"I prefer not to say","Objective-C",3
"I prefer not to say","Python",28
"Iran","R",8
"Norway","Haskell",4
"Norway","Rust",5
"Costa Rica","Ruby",4
"Puerto Rico","Java",7
"Puerto Rico","JavaScript",8
"Puerto Rico","Python",4
"Puerto Rico","R",1
"Austria","Go",11
"Austria","Objective-C",20
"Austria","Rust",3
"China","Java",62
"China","SQL",53
"China","Swift",7
"Australia","Groovy",23
"Australia","Swift",58
"Indonesia","C#",53
"Indonesia","JavaScript",114
"Indonesia","SQL",98
"Canada","CommonLisp",9
"Philippines","SQL",119
"Philippines","VB.NET",33
"Philippines","VisualBasic6",21
"Indonesia","C++",41
"Indonesia","PHP",104
"Indonesia","VB.NET",22
"Indonesia","VBA",7
"Hong Kong","Java",46
"Hong Kong","JavaScript",57
"Hong Kong","SQL",47
"Hong Kong","Swift",16
"Uruguay","Assembly",2
"Uruguay","C++",13
"Uruguay","Haskell",6
"Australia","Elixir",11
"Australia","Go",24
"Japan","PHP",43
"Japan","C",35
"Japan","C++",44
"Japan","C#",41
"Indonesia","Python",39
"Estonia","Scala",1
"Australia","Matlab",20
"China","JavaScript",78
"Portugal","Matlab",10
"Nepal","Java",38
"South Korea","Java",47
"South Korea","SQL",26
"Slovak Republic","Assembly",13
"Slovak Republic","C++",36
"Slovak Republic","Java",50
"Slovak Republic","Python",34
"Singapore","Objective-C",18
"Singapore","PHP",35
"Singapore","SQL",60
"Singapore","Swift",14
"Philippines","C",33
"Philippines","C++",39
"Philippines","C#",63
"Netherlands","Haskell",24
"China","CoffeeScript",5
"United States","Hack",27
"New Zealand","VisualBasic6",3
"Italy","F#",5
"Italy","Rust",6
"Malaysia","Assembly",10
"Malaysia","Perl",4
"Colombia","Scala",4
"Cape Verde","Assembly",1
"Cape Verde","C",1
"Cape Verde","C++",1
"Cape Verde","C#",1
"Cape Verde","Java",1
"Cape Verde","JavaScript",1
"Cape Verde","Matlab",1
"Cape Verde","PHP",1
"Cape Verde","Python",1
"Cape Verde","SQL",1
"Indonesia","C",27
"Philippines","Java",91
"Philippines","JavaScript",134
"Australia","Julia",4
"Hong Kong","PHP",32
"Hong Kong","Python",26
"Uruguay","Go",2
"Hong Kong","C#",21
"Hong Kong","Haskell",2
"Hong Kong","Ruby",9
"Singapore","JavaScript",70
"South Africa","C++",50
"South Africa","PHP",81
"China","C++",48
"Taiwan","Ruby",5
"Taiwan","SQL",23
"Taiwan","C#",12
"Taiwan","JavaScript",32
"Taiwan","Objective-C",7
"Malaysia","C",27
"Malaysia","Matlab",7
"Serbia","Scala",11
"Canada","Julia",5
"United States","Smalltalk",83
"Canada","Assembly",86
"China","C#",29
"China","PHP",25
"Malaysia","TypeScript",8
"Canada","Dart",10
"China","Objective-C",8
"Singapore","C#",31
"Thailand","C#",22
"Romania","CoffeeScript",8
"Trinidad and Tobago","JavaScript",10
"Trinidad and Tobago","PHP",8
"Trinidad and Tobago","SQL",7
"Malaysia","CoffeeScript",6
"Malaysia","CommonLisp",2
"Malaysia","Go",4
"Malaysia","Julia",1
"Malaysia","Scala",2
"Taiwan","C",13
"Taiwan","C++",16
"Taiwan","Python",22
"Mongolia","Java",8
"Mongolia","JavaScript",10
"Mongolia","PHP",7
"Mongolia","SQL",9
"New Zealand","Erlang",1
"New Zealand","Hack",2
"Malaysia","Elixir",2
"India","Groovy",46
"Vietnam","Java",22
"Vietnam","TypeScript",6
"Vietnam","PHP",14
"New Zealand","Go",6
"Japan","F#",3
"Lithuania","Python",36
"Myanmar","C#",4
"Bangladesh","Assembly",10
"Bangladesh","C",29
"Georgia","C#",13
"Georgia","JavaScript",22
"Georgia","SQL",18
"India","VB.NET",150
"India","VisualBasic6",115
"Hong Kong","CoffeeScript",4
"Hong Kong","Go",4
"Sri Lanka","PHP",44
"Taiwan","Java",21
"Spain","Scala",19
"Norway","Assembly",9
"Portugal","Assembly",9
"Portugal","Erlang",5
"Latvia","Scala",9
"Slovak Republic","R",7
"Hong Kong","F#",2
"Hong Kong","VB.NET",5
"Vietnam","C#",20
"Vietnam","Swift",5
"India","Elixir",12
"Australia","Perl",31
"China","Python",51
"Sri Lanka","Groovy",2
"Sri Lanka","Scala",2
"Mexico","Groovy",7
"Netherlands","Groovy",23
"Hong Kong","C++",20
"Poland","Objective-C",50
"United Arab Emirates","Java",23
"United Arab Emirates","JavaScript",39
"United Arab Emirates","SQL",29
"Russian Federation","Haskell",15
"India","CoffeeScript",34
"Latvia","Java",36
"Latvia","PHP",31
"Latvia","SQL",51
"Ukraine","CoffeeScript",10
"Philippines","CoffeeScript",7
"Philippines","PHP",92
"South Africa","Java",104
"South Africa","Python",64
"South Africa","Swift",10
"South Africa","VBA",16
"India","Perl",61
"Indonesia","Java",72
"Bangladesh","Java",51
"Bangladesh","Objective-C",6
"Bangladesh","Scala",1
"Thailand","VB.NET",6
"Ukraine","Python",56
"Netherlands","Lua",21
"Spain","Perl",25
"Afghanistan","C#",5
"Afghanistan","JavaScript",7
"Afghanistan","SQL",5
"Vietnam","C++",20
"Singapore","R",5
"New Zealand","Haskell",2
"Brazil","R",34
"Austria","VB.NET",11
"Japan","SQL",68
"Turkey","CoffeeScript",3
"Turkey","Haskell",4
"Turkey","Lua",7
"Turkey","Perl",2
"Spain","Dart",2
"Spain","Rust",6
"Sweden","VB.NET",19
"Liechtenstein","C++",1
"Liechtenstein","Java",2
"Liechtenstein","Matlab",1
"Liechtenstein","Python",1
"Japan","Assembly",9
"Japan","Matlab",11
"Israel","Lua",11
"Spain","Matlab",26
"South Korea","C++",32
"South Korea","JavaScript",40
"South Korea","Perl",1
"South Korea","PHP",15
"South Korea","Python",33
"South Africa","C",39
"Japan","Haskell",4
"Japan","R",7
"Slovenia","Python",91
"Hong Kong","Objective-C",13
"Hong Kong","TypeScript",10
"Pakistan","Objective-C",21
"Pakistan","Swift",14
"Luxembourg","C#",11
"Luxembourg","PHP",12
"Luxembourg","SQL",19
"Luxembourg","VB.NET",3
"Luxembourg","VBA",5
"Spain","Go",27
"Spain","Objective-C",34
"Botswana","Java",3
"Botswana","JavaScript",2
"Botswana","PHP",3
"Botswana","Swift",1
"Singapore","Elixir",4
"Italy","Haskell",8
"Denmark","Swift",17
"Sri Lanka","Assembly",5
"Sri Lanka","C",19
"Sri Lanka","Objective-C",7
"Sri Lanka","Swift",5
"Finland","Haskell",2
"China","Assembly",11
"China","VisualBasic6",1
"South Africa","Ruby",23
"Greece","TypeScript",21
"Latvia","CoffeeScript",5
"Latvia","Groovy",3
"Hungary","Ruby",15
"Hong Kong","Assembly",5
"Hong Kong","C",11
"Poland","Perl",29
"Czech Republic","Swift",15
"Hungary","C++",65
"Poland","Swift",48
"Italy","TypeScript",39
"Netherlands","Erlang",5
"Greece","CoffeeScript",4
"Austria","Haskell",9
"Poland","Rust",8
"Indonesia","Go",9
"Indonesia","Perl",5
"Sweden","VisualBasic6",10
"Netherlands","Scala",31
"Belgium","Swift",20
"I prefer not to say","TypeScript",2
"Croatia","VisualBasic6",4
"Russian Federation","Rust",10
"South Africa","CoffeeScript",10
"China","Matlab",14
"China","R",10
"China","Ruby",9
"Malaysia","VisualBasic6",10
"South Africa","R",10
"Latvia","JavaScript",53
"Latvia","TypeScript",8
"Slovak Republic","C#",34
"Slovak Republic","JavaScript",71
"Slovak Republic","SQL",66
"Australia","Hack",2
"France","CommonLisp",18
"Latvia","Python",14
"Switzerland","Assembly",23
"Bulgaria","TypeScript",20
"I prefer not to say","SQL",27
"Latvia","C#",25
"Slovak Republic","PHP",53
"India","F#",7
"China","Julia",1
"Japan","Perl",10
"Japan","Ruby",26
"Hong Kong","Perl",4
"Ireland","Go",11
"Switzerland","VB.NET",26
"Switzerland","VBA",39
"Finland","VBA",3
"Netherlands","VB.NET",28
"Greece","Haskell",5
"Nigeria","Haskell",2
"Latvia","VBA",6
"Latvia","VisualBasic6",4
"Switzerland","Objective-C",25
"Switzerland","Swift",27
"Netherlands","R",33
"Pakistan","R",5
"Spain","R",29
"Sweden","R",25
"France","VB.NET",45
"Austria","Groovy",17
"Ireland","VB.NET",15
"Poland","Matlab",42
"Denmark","Matlab",10
"Kenya","JavaScript",40
"Kenya","PHP",34
"Kenya","SQL",33
"Pakistan","Elixir",1
"Kenya","VisualBasic6",6
"Belgium","Objective-C",17
"Australia","Clojure",8
"Lebanon","JavaScript",18
"Serbia","Perl",1
"I prefer not to say","Elixir",1
"I prefer not to say","Haskell",2
"I prefer not to say","PHP",23
"I prefer not to say","Ruby",3
"Switzerland","Ruby",32
"Turkey","Assembly",12
"Finland","Swift",11
"Austria","CommonLisp",2
"Austria","Smalltalk",2
"Macedonia","Java",18
"Macedonia","SQL",25
"Tunisia","C",11
"Tunisia","C#",11
"Slovenia","C",52
"Poland","Lua",30
"Japan","Groovy",7
"Poland","Dart",3
"Poland","Hack",1
"Poland","Julia",7
"Poland","Smalltalk",2
"Poland","VisualBasic6",8
"Italy","Elixir",4
"Italy","Erlang",7
"Ukraine","Rust",3
"Italy","Objective-C",51
"Estonia","Matlab",3
"Estonia","VBA",3
"Estonia","VisualBasic6",3
"Sweden","Objective-C",23
"Sweden","Haskell",16
"Netherlands","VBA",24
"Czech Republic","Perl",17
"Hungary","Objective-C",13
"Hungary","Swift",9
"Slovenia","R",14
"Taiwan","Swift",6
"Slovenia","Haskell",6
"South Africa","Assembly",18
"South Africa","Matlab",6
"Netherlands","Elixir",8
"Taiwan","PHP",14
"Netherlands","Clojure",6
"Egypt","Matlab",8
"Armenia","Java",8
"Armenia","JavaScript",18
"United Arab Emirates","C#",17
"Ghana","JavaScript",19
"Ghana","Python",17
"Ghana","SQL",15
"Ghana","TypeScript",5
"China","Go",12
"Romania","Go",17
"Greece","F#",3
"Greece","Matlab",15
"Aland Islands","JavaScript",2
"Aland Islands","PHP",2
"Aland Islands","TypeScript",4
"Aland Islands","VB.NET",4
"Sweden","Groovy",28
"Sweden","Perl",20
"Brazil","Matlab",20
"Brazil","Objective-C",30
"Brazil","VBA",20
"I prefer not to say","VB.NET",7
"Vietnam","C",16
"Vietnam","Python",15
"Vietnam","R",3
"Malta","C#",18
"Malta","JavaScript",16
"Malta","TypeScript",6
"Austria","Perl",16
"Netherlands","VisualBasic6",7
"Trinidad and Tobago","Java",5
"India","Dart",6
"India","Lua",21
"France","VisualBasic6",18
"Zambia","Python",2
"Zambia","R",1
"Germany","Erlang",20
"Sweden","VBA",16
"Portugal","Ruby",13
"Iceland","C#",12
"Iceland","JavaScript",15
"Iceland","Matlab",2
"Iceland","SQL",12
"Iceland","TypeScript",3
"Portugal","VB.NET",13
"Portugal","VisualBasic6",4
"Zimbabwe","C++",3
"Zimbabwe","C#",5
"Zimbabwe","SQL",8
"Croatia","Ruby",8
"Iran","VBA",6
"Hungary","Scala",9
"Bosnia-Herzegovina","TypeScript",12
"Norway","F#",4
"Russian Federation","R",20
"India","Erlang",10
"Bulgaria","C++",38
"Egypt","C#",28
"Egypt","SQL",39
"Egypt","TypeScript",4
"Egypt","VB.NET",8
"Bosnia-Herzegovina","CoffeeScript",4
"Bosnia-Herzegovina","Elixir",1
"Bosnia-Herzegovina","Swift",1
"Armenia","PHP",10
"Bulgaria","PHP",54
"South Africa","VB.NET",28
"Austria","Assembly",21
"Philippines","TypeScript",13
"Germany","Julia",13
"Sweden","CommonLisp",7
"Austria","F#",3
"Ecuador","PHP",7
"Slovak Republic","TypeScript",16
"Estonia","C++",12
"Latvia","Assembly",3
"Latvia","C",13
"Latvia","C++",12
"Latvia","Go",3
"Latvia","Lua",4
"Latvia","Ruby",4
"Latvia","Rust",1
"United Kingdom","Julia",11
"Costa Rica","Python",19
"Costa Rica","R",2
"Norway","Perl",7
"Uruguay","C",9
"Uruguay","PHP",11
"Uruguay","VB.NET",5
"Uruguay","VisualBasic6",3
"Vietnam","Objective-C",4
"Lithuania","Erlang",1
"Iran","Assembly",31
"Georgia","Assembly",1
"Belgium","Groovy",13
"France","Smalltalk",23
"Peru","C#",15
"Peru","Go",4
"Peru","SQL",29
"Lebanon","Assembly",3
"Lebanon","C++",6
"Lebanon","PHP",16
"Lebanon","VB.NET",11
"Lebanon","VBA",6
"Venezuela","Assembly",3
"Venezuela","C",12
"Venezuela","C++",13
"Venezuela","C#",13
"Venezuela","Java",24
"Venezuela","Julia",1
"Venezuela","SQL",29
"Estonia","TypeScript",14
"Italy","Scala",12
"Ireland","Perl",12
"Greece","R",10
"Chile","R",8
"Paraguay","JavaScript",13
"Paraguay","Lua",1
"Paraguay","PHP",10
"Paraguay","Python",4
"Paraguay","SQL",11
"Ireland","Groovy",8
"Belarus","Python",13
"Spain","Lua",18
"Spain","VB.NET",35
"S. Georgia & S. Sandwich Isls.","C#",1
"S. Georgia & S. Sandwich Isls.","JavaScript",1
"Nigeria","C++",12
"Nigeria","Go",2
"Ukraine","Scala",8
"Japan","Objective-C",21
"Paraguay","C++",2
"Paraguay","Java",5
"Paraguay","Ruby",3
"Paraguay","Swift",2
"Paraguay","C",3
"Paraguay","Objective-C",2
"Slovak Republic","Perl",4
"Germany","Dart",13
"Netherlands","Hack",2
"Belgium","Erlang",2
"Belgium","Lua",11
"I prefer not to say","Smalltalk",1
"Panama","C++",4
"Panama","Java",10
"Panama","JavaScript",13
"Panama","Lua",1
"Panama","PHP",8
"Panama","SQL",13
"Bulgaria","Assembly",9
"Bulgaria","C",24
"Bulgaria","Matlab",4
"Aland Islands","CoffeeScript",2
"Aland Islands","Dart",2
"Aland Islands","Erlang",2
"Aland Islands","Groovy",2
"Aland Islands","VBA",3
"China","Lua",8
"Bulgaria","VB.NET",10
"Bulgaria","VBA",6
"Nicaragua","JavaScript",5
"Nicaragua","Python",3
"Nicaragua","SQL",4
"Nigeria","C#",34
"Canada","Smalltalk",18
"Portugal","VBA",8
"Ukraine","Go",10
"Peru","CommonLisp",1
"Spain","VBA",23
"Spain","VisualBasic6",25
"Colombia","Java",41
"Bolivia","Assembly",1
"Bolivia","C#",7
"Bolivia","JavaScript",10
"Bolivia","SQL",9
"Bolivia","VB.NET",3
"Bolivia","VBA",2
"Bolivia","VisualBasic6",3
"Finland","Objective-C",10
"Estonia","Swift",3
"Germany","F#",28
"Kenya","Python",25
"Chile","Smalltalk",1
"Finland","Smalltalk",3
"Argentina","VB.NET",8
"United Kingdom","Smalltalk",16
"Czech Republic","Smalltalk",3
"Slovenia","Smalltalk",3
"Ukraine","Swift",17
"Switzerland","Smalltalk",9
"Italy","Smalltalk",3
"Spain","Haskell",14
"Lithuania","Ruby",8
"Romania","Matlab",22
"Romania","Smalltalk",4
"Israel","Smalltalk",3
"Argentina","Perl",3
"Argentina","Smalltalk",16
"Netherlands","Smalltalk",10
"Myanmar","Java",13
"Myanmar","Python",3
"Myanmar","SQL",12
"Netherlands","Dart",2
"Norway","Swift",11
"Ireland","Lua",7
"Netherlands","CommonLisp",5
"Finland","Matlab",1
"Vietnam","Matlab",2
"Czech Republic","VB.NET",9
"Taiwan","R",1
"Ireland","Scala",18
"Brazil","Assembly",28
"Mexico","TypeScript",14
"Finland","Go",12
"Argentina","Assembly",6
"Argentina","C",19
"Argentina","C++",24
"Argentina","Groovy",7
"Argentina","Haskell",3
"Argentina","Scala",6
"Cayman Islands","JavaScript",2
"Cayman Islands","Python",2
"Cayman Islands","Ruby",1
"Cayman Islands","SQL",1
"Philippines","Python",49
"Serbia","Ruby",11
"Ukraine","Lua",8
"Ukraine","R",6
"Hungary","Smalltalk",2
"Switzerland","Lua",15
"Ukraine","Smalltalk",2
"South Africa","F#",3
"Estonia","Smalltalk",1
"Finland","VisualBasic6",2
"Finland","R",11
"Azerbaidjan","C#",8
"Azerbaidjan","Java",6
"Azerbaidjan","JavaScript",6
"Azerbaidjan","SQL",9
"Ethiopia","C++",5
"Ethiopia","Go",1
"Ethiopia","Java",11
"Ethiopia","JavaScript",5
"Ethiopia","PHP",12
"Ethiopia","Python",4
"Ethiopia","TypeScript",1
"Russian Federation","Assembly",21
"Russian Federation","Smalltalk",3
"Mexico","CommonLisp",3
"Mexico","Haskell",4
"Panama","Go",1
"Panama","Objective-C",3
"Bolivia","PHP",9
"Denmark","Smalltalk",1
"Ecuador","Scala",1
"Uruguay","Smalltalk",2
"Belgium","Smalltalk",8
"Iran","Objective-C",18
"Iran","Swift",24
"Brazil","CoffeeScript",19
"Brazil","Rust",5
"Mexico","Assembly",11
"Austria","Matlab",29
"Venezuela","Python",14
"Ukraine","Assembly",5
"Ukraine","TypeScript",22
"Jordan","C#",15
"Jordan","Go",1
"Jordan","JavaScript",19
"Jordan","Matlab",2
"Jordan","TypeScript",2
"Argentina","Lua",4
"Greece","Go",7
"Mexico","VB.NET",22
"Israel","Clojure",6
"Israel","Elixir",3
"Israel","Haskell",6
"France","Clojure",10
"Spain","Clojure",4
"Portugal","Objective-C",7
"Portugal","R",4
"Portugal","Swift",8
"Turkey","Go",13
"Uruguay","Perl",2
"Uruguay","Ruby",4
"Ireland","Julia",2
"Croatia","CoffeeScript",2
"Bosnia-Herzegovina","Go",1
"Bosnia-Herzegovina","Rust",1
"New Zealand","Matlab",8
"Vietnam","SQL",18
"Honduras","C++",3
"Honduras","C#",4
"Honduras","Java",4
"Honduras","SQL",3
"Australia","CommonLisp",4
"Czech Republic","R",9
"Turkey","R",12
"Turkey","Swift",15
"Indonesia","VisualBasic6",13
"Australia","Smalltalk",5
"Argentina","Matlab",4
"Trinidad and Tobago","Ruby",1
"United Arab Emirates","Go",3
"United Arab Emirates","Swift",5
"India","Clojure",10
"Myanmar","JavaScript",11
"Indonesia","Elixir",4
"Malaysia","Hack",2
"South Africa","Objective-C",14
"South Africa","Smalltalk",2
"United Arab Emirates","Clojure",1
"Thailand","TypeScript",9
"Japan","VB.NET",4
"Pakistan","CoffeeScript",6
"Iran","VB.NET",14
"Nepal","Lua",2
"Nepal","Objective-C",6
"Nepal","Swift",8
"Lebanon","Perl",3
"Switzerland","Elixir",6
"Spain","Smalltalk",2
"Bangladesh","C++",25
"Bangladesh","Swift",6
"Bangladesh","VB.NET",6
"Romania","Assembly",27
"France","Haskell",18
"Pakistan","TypeScript",11
"South Korea","Groovy",2
"Belgium","Go",12
"Sri Lanka","Ruby",3
"Belarus","C",7
"Venezuela","Scala",2
"Indonesia","CoffeeScript",5
"Iran","Lua",4
"Iran","Perl",7
"Ghana","PHP",11
"Egypt","PHP",36
"Norway","VisualBasic6",1
"Indonesia","Objective-C",4
"Indonesia","Swift",8
"Estonia","F#",2
"Estonia","Ruby",9
"Iran","VisualBasic6",13
"Pakistan","CommonLisp",1
"Italy","Lua",16
"Andorra","C++",2
"Andorra","Python",1
"Finland","Clojure",6
"India","Hack",6
"Sweden","Elixir",8
"Slovak Republic","Objective-C",7
"Belarus","Objective-C",2
"Belarus","Swift",2
"Croatia","Rust",3
"Pakistan","Scala",5
"Chile","Go",2
"United Arab Emirates","CoffeeScript",2
"United Arab Emirates","TypeScript",8
"Greece","CommonLisp",3
"Pakistan","VisualBasic6",10
"Belgium","Assembly",14
"Belgium","R",11
"Mexico","VisualBasic6",4
"Indonesia","Haskell",3
"Kenya","C++",9
"Kenya","Java",21
"Iran","CommonLisp",3
"Iran","F#",3
"Sri Lanka","Matlab",4
"Sri Lanka","R",4
"Ethiopia","VisualBasic6",6
"Greece","Lua",6
"Madagascar","Java",2
"Madagascar","TypeScript",2
"Cameroon","C",4
"Cameroon","Java",7
"Cameroon","SQL",5
"Ghana","C",2
"Iceland","Java",11
"Ireland","VisualBasic6",5
"Russian Federation","VB.NET",17
"Russian Federation","VBA",20
"Russian Federation","VisualBasic6",7
"Ghana","Java",16
"Greece","VisualBasic6",9
"Russian Federation","F#",8
"Russian Federation","Perl",19
"Croatia","Swift",10
"Greece","Objective-C",5
"Nigeria","Matlab",7
"Nigeria","VBA",8
"Nigeria","VisualBasic6",11
"Tanzania","JavaScript",6
"Tanzania","Python",8
"Tanzania","TypeScript",2
"Kuwait","SQL",6
"Kenya","R",1
"Belgium","Scala",7
"Ethiopia","C#",6
"Ethiopia","CommonLisp",1
"Ethiopia","SQL",8
"Ethiopia","VB.NET",5
"Ukraine","CommonLisp",4
"Luxembourg","Go",3
"Slovak Republic","Haskell",4
"Ireland","Matlab",10
"Slovenia","Go",14
"Slovenia","Perl",10
"Slovenia","Ruby",22
"Thailand","Erlang",2
"Thailand","F#",1
"Thailand","Go",4
"Thailand","Groovy",1
"Thailand","Smalltalk",2
"Thailand","VBA",5
"Thailand","VisualBasic6",4
"Ecuador","TypeScript",2
"Kuwait","Python",1
"Colombia","R",5
"Colombia","VB.NET",6
"Indonesia","Ruby",13
"Nepal","C",26
"Nepal","C++",24
"Romania","VBA",8
"Nepal","Python",16
"Nepal","VB.NET",7
"Bangladesh","Python",27
"United Arab Emirates","Groovy",2
"Venezuela","JavaScript",31
"Venezuela","Lua",2
